,content,label
42,martin shkreli wants to be the only one to own kanye new album,0
43,perfect attendance credited to abusive household,1
44,odorite introduces new three tier urinal cake,1
45,local senior brutally folded in craftmatic adjustable bed accident,1
46,jay s grandfather busted with trunk full of canadian prescription drugs,1
47,terrified johnny depp unable to remove tonto makeup,1
48,my conversation with kristen stewart,0
49,hillary clinton clearly tailoring debate answers to unclaimed new york superdelegate,1
50,donald trump lawyer claims president was never told about son russia meeting,0
51,twitter users roast fbi over its ms paint style holiday tweet,0
52,now the texas governor wants blake farenthold to repay your 84 000,0
53,fidelity matches some ira contributions,0
54,local los angeles awards show slated to open for grammys,1
55,check it out giant pumpkin outweighs smart car,0
56,bus transporting carnival cruise passengers crashes into sewage treatment plant,1
57,dutch heath authorities to kill 8 000 ducks to prevent bird flu,0
58,conan makes dog audiobook service look as silly as it sounds,0
59,staff members under new defense secretary wondering if they still get summers off,1
60,seabed search for mh370 could end within week,0
61,celebs most iconic grammys outfits ever,0
62,john boehner beheads juarez cartel member who dared muscle in on his legal weed turf,1
63,if grown ups faced the same problems kids do,0
64,queer couples take it off in stunning boudoir photos nsfw ,0
65,deloitte hires accountant after noticing popular tweets of audit calculations,1
66,depression strained finances combine forces to produce grotesque culinary abomination,1
67,new gop plan offers tax breaks on all contributions tucked into congressmen suit breast pocket,1
68,grassroots activists are leading the way on the addiction crisis,0
69,pet winterized,1
70,trump immigration proposals would change the identity of america,0
71,women in business a alana juliette and nicole feld feld entertainment,0
72,government admits to hiding embarrassingly lame 1973 extraterrestrial encounter,1
73,david cameron to scottish people ll kill myself if you leave ,1
74, trumphair is the hilarious hashtag our country deserves,0
75,black teens affected by gun violence speak out ahead of march for our lives,0
76,trump budget would be devastating to poor victims of domestic abuse,0
77,the soft corruption of clinton inc and how it could cost democrats the presidency,0
78,couple excited to start planning wedding expenses,1
79,gop lawmaker matt gaetz slams haiti sheet metal and garbage everywhere you look,0
80,louis k reveals he once ruined job for jimmy fallon,0
81,why successful ceos must think like the janitor,0
82,34 000 sign petition against archbishop who reportedly invited kim davis to meet pope,0
83,watch young ryan gosling mesmerizing dance moves,0
84,samantha bee rounds up comedians for the ultimate roast of donald trump,0
85,history channel repeats itself,1
86,watch experts talk pesticides and health,0
87,deputy head of norway labor party resigns amid sexual harassment allegations,0
88,spring has sprung in the arctic but it way too early for it,0
89,changing channel on local bar tv more of process than area man anticipated,1
90,kansas city royals grab 2 0 lead in 2015 world series,0
91,sweeping new labor reforms allow foxconn employees to work in inhumane conditions from home,1
92,an american dreamer in the age of trump,0
93,paul allen to leave 10 000 to everyone who shares this post,1
94,between an uncertain duterte and trump and powerful china vietnam sees stability in asean,0
95,don lemon on sean spicer everyone is dumber for having listened to that ,0
96,people and other animals baby hummingbirds in our incubators means that spring has come,0
97,box of old playboys found good ones too,1
98, it like you re hearing me but you re not listening to me says man to representative on oscar mayer customer service hotline,1
99,midterms predicted to have largest voter in decades,1
100,why pinterest is totally addictive and how to use it to your benefit,0
101,mike pence to anti abortion crowd trump supreme court pick will be in the mold of antonin scalia,0
102,skier sick run on dry terrain proves snow is for suckers,0
103,report 98 percent of americans afraid of 98 percent of americans,1
104,steve bannon suggests donald trump met with russians after don jr did,0
105,secret australian government documents found in cabinets from secondhand store,0
106,scientists posit theoretical productive weekend ,1
107,using the united fiasco to flourish in the future,0
108,cameron diaz says she actually retired so there,0
109,here how to get republicans to change their minds on the minimum wage,0
110,man totally proud of last night drunken phone calls,1
111,watch obama get little nostalgic after his final state of the union,0
112,u backed syrian militias take back raqqa from isis,0
113,20 struggles every tall girl knows to be true,0
114,nasa reveals plans for new rover,0
115,has the eu really solved its refugee crisis ,0
116,netanyahu meets with donald trump hillary clinton ahead of first debate,0
117,the transformation of justin bieber from white youth to black man,0
118,kate winslet is the slickest star on the 2016 oscars red carpet,0
119,yoga for the heart,0
120,an open letter to editors rejecting metoo meat14 submissions by victims,0
121,tearful trump admits nato alliance closest thing to friendship he ever had,1
122,dog can believe owner left on fucking msnbc to keep it company while she at work,1
123, game of thrones fans shocked after some little goblin or something killed off in last night episode,1
124,exhilarated woman discovers last person who used jigsaw puzzle left lots of pieces sticking together,1
125,kris kobach defends using private email for government business,0
126,iran vows firm response unless obama stops sanctions renewal,0
127,u life expectancy falls as more people die from illnesses,0
128,widower strikes gold while gardening finds missing wedding ring,0
129, twas hubris led me here thinks naked woman sitting on public toilet with romper around her ankles,1
130,nation pregnant women announce discovery of comfortable sitting position,1
131,the challenge of exclusivity,0
132,pharmaceutical rep assures doctor he personally tries every drug he promotes,1
133,aspiring felon moved by man who didn get first 8 convictions until his 60s,1
134,class of 88 reunion attendees once again trick sue thorpe into thinking jeff urban likes her,1
135,professor threatened with firing says wheaton college is changing the rules,0
136,amazon 1 click bankrupts area parkinson sufferer,1
137,mike pence takes oath of office as country next vice president,0
138,zika virus joins lack of paid leave unaffordable child care as reasons woman afraid of getting pregnant,1
139,the bottom line china miéville this census taker ,0
140,study finds placing one foot forward then the other remains best method of walking,1
141,how to get the love that you deserve in marriage,0
142,bill cosby mug shot released,0
143,mueller annoyed by chipper overeager adam schiff constantly sending him evidence he already uncovered,1
144,why dave brandon won be michigan athletic director next year,0
145,family dog barking at evil,1
146,israeli bus driver wants really big raise,1
147,jeff bezos named amazon employee of the month,1
148,scientists warn all plant life dying within 30 yard radius of ted cruz campaign signs,1
149,foreign aid to create jobs,0
150,snoop dogg rips trump in make america crip again ,0
151,mitch mcconnell has hands vocal cords removed to prevent self from holding hearing on scalia replacement,1
152,target range under fire from community members,1
153,12 baby names inspired by black stars who are making history,0
154,amy krouse rosenthal daughter continues her late mother last project,0
155,trump picks nikki haley for un ambassador,0
156,report you have been selected to make purchase at the onion store,1
157,after 4 years living in asia m suddenly minority again and it sucks ,0
158,field notes from the music biz life at the trades,0
159,going back to congo,0
160,abandoned mall retains eerie vestiges of fun shopping atmosphere,1
161,only nba nerds will catch the joke in this nba 2k16 trailer,0
162,captivating photos give glimpse into the lives of military personnel,0
163,nation huggers announce plans for you to get over here,1
164,teen unsure how to break it to parents that the devil got her pregnant,1
165,manafort shares tense silence with rick gates on car ride back from trial,1
166,rescue animals get the help they need thanks to online donations,0
167,sophie from the holiday is all grown up,0
168,single mother hogging 2 jobs,1
169,how to overcome the stress of long distance relationships,0
170,bp opens multi floor 1 000 pump flagship gas station in times square,1
171,green streets are healthy streets,0
172, the onion guarantees all who watch new amazon series shall be spared,1
173,this is what happens when you ask arya stark to write your yearbook quote,0
174,white house now just holding continuous going away party for departing staffers,1
175,barber just latest in string of humans to feign interest in what area man says,1
176,researchers announce they don have heart to reveal what will happen to 1 in 5 women,1
177,the internet of you,0
178,mitch mcconnell says elections are not an excuse for senators to skip work,0
179, xmasgiftsfromtrump wish list will give trump very un merry christmas,0
180,nick offerman rsvps to wedding in very ron swanson esque way,0
181, the simpsons predicted disney would buy fox nearly 20 years ago,0
182,if disney princesses realized they could save themselves,0
183,man only has himself to blame for what in targeted banner ad,1
184,permission denied,0
185,everyone but you attending some important meeting in other room,1
186,trump relaxes after debate by slipping back into nice warm personal reality,1
187,mccain botched execution amounts to torture ,0
188,susan rice didn do anything untoward with intelligence,0
189,the one thing force on my kids,0
190,guy on cologne advertisement must smell pretty good,1
191,this video of kourtney kardashian eating kit kat bar is celeb culture run amok,0
192,these astronauts hugged it out in response to reporter question about political tension,0
193,miley cyrus and liam hemsworth had very instagrammed christmas,0
194,green party official caught embezzling campaign funds for dime bag,1
195,roger ailes hires lawyer for possible lawsuit against new york magazine,0
196,tv viewers outraged at timing of commercial break,1
197,report last time anyone actually rose to the occasion was 2002,1
198,black men sentences 20 percent longer than white men for similar crimes,0
199,trump has made afghanistan decision after rigorous review mattis,0
200,criss angel nephew forced to sit through another lame mindfreak,1
201,pit bull had lost all hope when kids found him in the grass,0
202,how nice of dr luke to now let kesha perform at the billboard music awards,0
203,lowly mortal opens portal to hell,1
204,david valadao tk house race,0
205,former blackwater guard sentenced to life in prison for baghdad shooting,0
206,prince charles voted next commonwealth leader after queen endorsement,0
207,u worried about living up to netanyahu campaign promises,1
208,scientists receive 10 million grant to melt stuff,1
209,don pay another bill until you pay this,0
210,pence catholic leaders share narrow vision of faith at prayer breakfast,0
211,the maker of oreos is hiring for dream job chocolate taster,0
212,chicago police credit their extensive experience falsifying evidence for helping solve smollett case,1
213,ecstatic american indians praise the lone ranger ,1
214,two very different closets my life as the gay daughter of u spy,0
215,when this tenacious learner became mom,0
216,poll 100 of grandsons talented,1
217,backup plan in case menu item out of stock most well thought out part of man life,1
218,drunk man staring at ihop syrups,1
219,pistachio eating man achieves flow state,1
220,teen coming out of shell giving bully lots of new material to work with,1
221,pope francis grills burgers on balcony of st peter basilica,1
222,8 weird sleep positions couples know all too well,0
223,pregnancy related deaths nearly doubled in texas after cuts to women health,0
224,getting to same sex marriage,0
225,nation police officers now too heavily armed to go undercover convincingly,1
226,this school is all about diversity not ,0
227,family friends concerned after peyton manning wanders away from pocket,1
228,family kind of concerned at how fast dad ate father day gift,1
229,art major to stop capitalizing name,1
230, am equal to any man says stern woman who likely does not menstruate,1
231,mack wilds plays crooked cop in the new fox drama shots fired ,0
232,moviegoer can already see where commercials will go,1
233,bat disease epidemic still expanding throughout north america,0
234,what really going on with twitter ,0
235,woody allen says harvey weinstein scandal is very sad for everyone involved ,0
236,iranian president rouhani jabs hardliners in remarks about protests,0
237,j rowling revealed to be pseudonym for newt gingrich,1
238,donald trump tax plan could balloon the debt by 75 percent,0
239,report authorities recommend the film you ve got mail for those snowed in today,1
240, me and earl and the dying girl film interview,0
241,portraits of sikh men reveal the diverse beauty of turbans and beards,0
242,house condescendingly approves 400 in added stimulus,1
243,william katt programs own name into tivo,1
244,man surveys party for next group to silently stand in,1
245,pep talk laced with personal threats,1
246,documentary about grisly murder inspires dozens of copycat documentaries,1
247, true detective fan develops elaborate theory he will be let down by season finale,1
248,we re getting closer to leaving home without phones and this thing is the key,0
249,report annie sabatino boyfriend like 23 or something,1
250,actor nils hognestad performs in front of live audience on some assembly required,0
251,margaret atwood advice for young feminists be informed be aware ,0
252,former senator to run pot company,0
253,the art of listening,0
254,federal judge in detroit orders temporary ban on trump immigration restrictions,0
255,biden gets grow light delivered to white house under fake name,1
256,dysfunctional family statistically average,1
257,5 things to do the minute you retire,0
258,uber driver wants you to know that lots of mexicans live in this neighborhood,1
259,5 years of progress time for patients over politics,0
260,first amendment lawsuit says student was punished for wearing t shirt advocating gun rights,0
261,where to find the duchess of cambridge birth announcement dress,0
262,child makes useless gesture to help struggling family,1
263,desperate snl releases best of melanie hutsell dvd,1
264,with police body cameras c mayor promises transparency with caveats,0
265,monday morning email stormy daniels opens up about trump,0
266,new alternative fuel suv will deplete world hydrogen by 2070,1
267,luke owen wilson recall meeting on set of the royal tenenbaums ,1
268,ryan reynolds wished his brother happy birthday the only way he knows how,0
269,hopper from stranger things wore holiday sweater and became meme,0
270,loan officer from future warns stop mortgaging your home at only 1 65 of the prime rate ,1
271,tennis ball brought on trip,1
272,monster at end of book claims life of tv grover,1
273,study finds only 20 of seminary graduates go on to become god,1
274,actor matthew mcconaughey agrees to star in whatever,1
275,meghan markle nervously looking over clinic pamphlets weighing her options,1
276,tylenol releases new black bile gel caps for people with unbalanced humors,1
277,chris murphy congress giving quiet endorsement to murders,0
278,cryptic new laundry room rule hints at tale of bizarre infraction,1
279,move over hamilton c just debuted trump ,0
280,is tpp living document ,0
281,the world worst ebola outbreak by the numbers,0
282,giuliani insists breaking the law not crime,1
283,area 8 year old formally rescinds hunger complaint following mother insulting banana offer,1
284,texas gov rick perry indicted for wearing hipster glasses,0
285,the troubling trend behind california measles outbreak,0
286,pbs to air more of that yanni shit,1
287,lone ant crawling through kitchen trumpets arrival of horde,1
288,most of the world thinks trump is an arrogant intolerant dangerous leader,0
289,mike pence hamilton recollection conflicts with donald trump take,0
290,fully gentrified neighborhood all cheese shops,1
291,queen elizabeth rushed to hospital for royal blood transfusion,1
292,a letter to my teenage daughter,0
293,sh talk everything you need to know about pooping at the office,0
294,google got plans for smart contact lenses,0
295,new election ruling allows candidates to remain completely anonymous throughout campaign,1
296,my hair was stranger to me,0
297,youtube reaches 1 trillion racist comments,1
298,12 history making transgender politicians from around the world,0
299,learn new habits to break emotional eating patterns,0
300,pence calls trump builder of boundless optimism compares him to teddy roosevelt,0
301,just keep swimming finding dory is fun for the whole family ,0
302,dead civilians and the language of war,0
303,chrissy teigen wants to know if kim kardashian is still down for dinner,0
304,weird al honors parents memory with tears in heaven parody,1
305,overuse of enzyme based cleaners may be causing highly resistant superstains,1
306,weinstein company files for bankruptcy after sale talks collapse,0
307,world luminaries crowd around time 100 list posted on editor door,1
308,harvey weinstein expected to turn himself in to the nypd for sex crimes,0
309,senate passes 3 year highway funding bill,0
310,fetish only realized after watching wife drown,1
311,spain harsh crackdown draws worldwide attention to catalonia,0
312,busy executive has to take this call girl,1
313,a bride harbors an intimate secret in this haunting short film,0
314,banning one racist fan doesn fix red sox racism,0
315,medical experts disappointed with man who failed to live up to life expectancy,1
316,a gospel of white supremacy is not the gospel of christ,0
317,escaping the higher education stockholm syndrome,0
318,trump it my honor to deliver the first ever state of the union ,1
319,nation still reeling from mega success of mr popper penguins ,1
320,serena williams reminds us to rise up over the haters in poignant ad,0
321,immigration legislation is dead now what ,0
322,elizabeth warren calls for investigation of ny fed over secret tapes,0
323,bush dragged behind presidential motorcade for 26 blocks,1
324,asthmatic child tired of hearing list of famous asthmatics,1
325,watching the world destroy itself,0
326,is this donald trump re election master plan ,0
327,report increasing number of s toddlers attending online preschool,1
328,white house pretty sure uzbekistan diplomat stole bunch of soap,1
329,fcc assures nation their favorite verizon websites won be affected by net neutrality repeal,1
330,jennifer lopez new video is sad premonition of the future of feminism,0
331,smiley face doodled on check commemorates undeniable chemistry between waiter ericson family,1
332,man catches bad television show going around office,1
333,gop heads to south carolina where the dirty tricks are about to start,0
334,only benedict cumberbatch can crack the case in jimmy fallon mad lib theater,0
335,area man thinks he was fired because of recession,1
336,21st century black giving 10 high impact principles for new year,0
337, luck producers still killing lot of horses,1
338,james comey quickly reopens clinton email investigation for few more minutes,1
339,god decides against killing self after angel shows him what life would be like if he never existed,1
340,carrie fisher remembered as fans celebrate star wars day ,0
341,bush determined to find warehouse where ark of covenant is stored,1
342,bengal tigers habitat down to studio apartment in jaipur india,1
343,body positivity advocate caught in illicit tryst with conventionally attractive lover,1
344,report just 2 more days and you can forget all of this vanish into red dead redemption 2 ,1
345,increased negative campaigning reveals previously hidden ugly side of politics,1
346,train crash in pakistan kills at least four and injures dozens,0
347,amazon offering more deals than black friday in epic prime day sale,0
348, half the city is burning hamburg rocked by violent anti 20 protests,0
349,thank you dishonest media ,0
350,run ted cruz run hillary clinton and the democrats need you,0
351,red lobster offers new top hat full of shrimp to attract wealthier customers,1
352,justin trudeau continues to melt hearts teaching son how to make mores,0
353,mike boggs record catches up to him,0
354,kimye is married,0
355,louis vuitton releases new line of designer leather freezer bags,1
356,man makes quick call to parents so next week call to ask for money doesn seem that bad,1
357,cory booker tries to relate to rural voters by mangling hand in grain auger,1
358,bush celebrates millionth utterance of lessons of sept 11 ,1
359,newt gingrich defends donald trump by accusing megyn kelly of being obsessed with sex,0
360,syrian rebels fear government assault on besieged starving daraya,0
361,trevor noah exposes vladimir putin sinister actions towards s diplomats,0
362,random online photo leads to navy veteran rescue from flooded house,0
363,tom price says insurers should dust off how they did business before obamacare ,0
364,tsunami death toll rises to 36 americans,1
365,kids behavior linked to moms acetaminophen use during pregnancy,0
366,congressman boehner terror alert skin set back to orange,1
367,weak little man asks for help,1
368,wall street journal lays off 150 stipple portrait artists,1
369,keanu reeves recalls preparing for john wick 3 by acting in two previous john wick films,1
370,bored assistant principal browses through confiscated items,1
371,former google engineer james damore takes refuge among the alt right,0
372,twitter creator on iran never intended for twitter to be useful ,1
373,health care coverage is not enough we need delivery system reform ,0
374,kesha emotionally admits new album is quite literally saving my life ,0
375,this canadian mega mall is your new vacation spot,0
376,donald trump says his supporters should hit back at protesters more often,0
377,son friend the kind who always gets nosebleeds,1
378,few latino kids attend catholic schools here why,0
379,watch kevin hart drop the mic on james corden,0
380,justin bieber recovering in intensive care unit after being badly booed,1
381,man can still win fantasy football this week provided tight end scores 9 touchdowns on monday,1
382,ghost can make simple cup of coffee without everyone freaking out,1
383,voting lines are shorter but mostly for whites,0
384,why nomsense made so much sense tale of 3 best friends 2 cookies and cake crumble,0
385,dustin lance black calls bullsh on hollywood view of trans actors,0
386,jealous god wants area man 69 charger,1
387,scientists isolate gene simmons,1
388,once loyal enabler betrays man by suggesting therapy,1
389,jon hendricks legendary jazz and vocalese singer dies at 96,0
390,syria fighting mostly stops as truce takes effect,0
391,ohio state hires jim tressel as head football coach,1
392,man kinda excited for internal camera procedure,1
393,the coming immigration wars in trump america,0
394,a conversation with pavel durov,0
395,man in suit makes decision affecting thousands of non suited individuals,1
396,yes baby boomers 2016 did have 7 bright spots,0
397,desperate time magazine announces man of june ,1
398,8 things the gop debate got wrong about abortion and planned parenthood,0
399,mom sleeps in past sunrise,1
400,mother surprised son needs so much ammunition for first day of school,1
401,should banks be allowed to robocall your mobile phone ,0
402,laura ingraham learned the hard way she can do what the boys do at fox news,0
403,exuberant trump rally crowd bats syrian refugee child around arena before candidate comes on stage,1
404,surprise the russian media just loves donald trump,0
405,epa warns human beings no longer biodegradable,1
406,ecstasy and despair on this historic day,0
407,world weary man bitterly rents mercury rising,1
408,let make tax reform win for all,0
409,my beautiful reward and the 7 lessons it has taught me,0
410,5 things men can do to strengthen their relationship,0
411,george w bush moved out of icu after health improved,0
412,poll finds 30 of americans still undecided whether to vote out of fear or spite,1
413,trump says he thought being president would be easier than his old life,0
414,garroting survivors call for wire ban,1
415,jane seymour secrets to feeling young after 50,0
416,drake hasn even opened his restaurant and already threw party there,0
417,haunted hayride makes extra spooky turn onto interstate,1
418,man confidently hits send on worst job application company has ever seen,1
419,looking through the glass ceiling,0
420,jon huntsman accepts post as ambassador to russia,0
421,area dad points out place that has great reuben sandwiches,1
422,every person in high end singapore casino either carrying out or target of assassination,1
423,don even think about blaming khloe kardashian for james harden bad season,0
424,is the us government cooking the books ,0
425,daddy issues worked out on dance floor,1
426,puking statue will make you feel sick but you need to look,0
427,report income inequality most apparent during fifth grade classmate birthday party,1
428,business traveler closes mini bar,1
429, how do we allow gunman to come into our children school ,0
430,brock turner mugshot is featured in criminal justice textbook,0
431,hydraulic press crushes the immortal soul out of halloween,0
432,terminally ill serpent renounces symbolic ties with evil,1
433,wells fargo computer glitch accidentally forecloses on all 5 700 branches,1
434,in informed consent native american tribe battle is recreated off broadway,0
435,kim kardashian breaks down over kris jenner reaction to bruce jenner,0
436,bathroom smells like shit,1
437,cost cutting measures force company to start hiring more female employees,1
438,to fathers everywhere it doesn take cape to be hero to your kids,0
439,cyber monday retailers pull in record 700 terabytes of consumers personal information,1
440,donors giving to orlando victims fund at record rate,0
441,here why some black women aren here for womenboycotttwitter,0
442,judge orders s to release photos showing abuse of detainees,0
443,man feels automatic connection with attractive woman,1
444,3 ways to boost your empathy,0
445,the simple mind trick that helped me lose weight,0
446,jogger thinks he looks great,1
447,health food store worker dies of vitamin lung,1
448,after highs and lows of 2016 make 2017 better year for women girls,0
449,obama biden endorse kamala harris in california senate race,0
450,elaborate sentence construction facilitates omission of word boyfriend ,1
451,community rallies to save eyesore,1
452,cnn holds morning meeting to decide what viewers should panic about for rest of day,1
453,what scandalous changes could be coming to the catholic church ,0
454,report this movie old enough that they might have actually hurt dog,1
455,why the rule of law is key to china modernization,0
456,john mccain not going to ask cindy mccain twice,1
457,news roundup for september 22 2017,0
458,bernie sanders tells donald trump stop talking about bill clinton sex life,0
459,archaeologists unearth ivory trumpet dating back to prehistoric jazz age,1
460,chuck cheese pit boss tells floor attendant to keep an eye on guest winning big at skee ball,1
461,larry king frothing saliva hosed off bette midler,1
462,report just so you know your younger sister probably getting laid pretty regularly these days,1
463,pillow that survived man tossing and turning stares frozen in horror at fallen comrade lying on ground,1
464,national forest service recommends campers tie up their food to avoid attracting other visitors,1
465,lutheran minister arrested on charges of boring young children,1
466,the world oldest living cat has died,0
467, on fleek viral star peaches monroee just launched her own hair line,0
468,rustic italian village just killing time between wedding feasts,1
469,george r martin announces next book to feature pixies dracula,1
470,the fashion world mourns joan rivers,0
471,ohio state fair accident caused by excessive corrosion ride manufacturer says,0
472, eco warrior vandana shiva at 40 000 speech rejoins hawaii anti gmo crusade but truth is the victim,0
473,chinese graduate student pursues master in political silence,1
474,trump too lazy and indifferent to hurt allies by sharing intel white house officials tell nyt,0
475,donald trump asks why the civil war couldn have been worked out ,0
476,man wearing low cut swimsuit as though public pool sun kissed sardinian cove,1
477,watch why juliette lewis parents helped her get emancipated,0
478,the importance of vision,0
479,how meeting susan anspach completed the circle,0
480,steady job growth is still not boosting workers pay new numbers show,0
481,transcanada shelves its s keystone application,0
482,how every american knows what fbi director comey did was wrong,0
483,delta airlines is showing carol with same sex kissing edited out,0
484,doctors discover purpose of appendix is to contain human soul,1
485,poll americans think gop iran letter was inappropriate,0
486,san diego zoo displays first rhino stillborn in captivity,1
487,boston must mull renaming iconic building to give civic dignity to blacks,0
488,caitlyn jenner isn threatening your womanhood,0
489,radio talk show caller to make point,1
490,drunken man careens wildly across internet,1
491,3 summer trends anyone can pull off,0
492, love wikileaks trump acceptance of russian help hides in plain sight,0
493,melissa harris perry becoming elle com editor at large,0
494,why congress should fix nics and reject the nra so called concealed carry reciprocity bill,0
495,i know something about grace,0
496,making inequality the center of the 2016 debate,0
497,cory booker pumps brakes on trump impeachment talk,0
498,trump hotels buck industry trend continue to offer guests porn,0
499,here yet another way to get paid to travel this summer,0
500,navratri 2014 hindu celebration of the mother goddess,0
501,hillary clinton taps jay to urge young black americans to vote,0
502,trump complains entire personality rigged against him,1
503,jim jeffords founder of the movement to expand afterschool programs hero to children and families,0
504,scientists working to harness energy produced by intense fracking debates,1
505,prick veterinarian keeps dachshund waiting in empty lobby for 45 minutes,1
506,not forgotten the health and rights of rohingya women and girls,0
507,stuffed up congress allocates 250 million to destroy pollen,1
508,3 lessons medicine learned from the life and death of bubble boy ,0
509,trash bag taped over broken southwest plane window,1
510,trump administration axes funding for nasa system that monitors greenhouse gases,0
511,regular citizen heroically enforces park no glass containers rule,1
512,4 people facing 100 lashes for alleged gay sex in indonesia,0
513,researchers no closer to understanding what the fuck you re talking about,1
514,thursday morning email justice department takes aim at lgbtq rights,0
515,bill cosby feeling disoriented after jury slips conviction into his verdict,1
516,pre teen moves from giggling at everything phase to never smiling phase,1
517,nation praying for super nasty luge accident,1
518,sheldon adelson party hack,0
519,trump reveals how he would force mexico to pay for border wall,0
520,obama orders guantánamo prisoners transferred to next president,1
521,tom brokaw touched so many women would go out of their way to defend filthy old pervert like himself,1
522,toddler junkie immediately hooked on looking at trains after first exhilarating high,1
523,charlie rose opens up about one of his greatest regrets,0
524,there is shortage of male teachers of color nyc is working to fix that ,0
525,missed call from dad at 9 m strikes terror into area man heart,1
526,halliburton gets contract to pry gold fillings from new orleans corpses teeth,1
527,trophy son half father age,1
528,here are some of the best photos from obama trips to the 50 states,0
529,reinvest in california seniors to boost local economies,0
530,chaplain who said there no such thing as transgenderism now says obeying constitution serves satan,0
531,dunkin donuts signs 10 year partnership to be exclusive food vendor of united states,1
532,bayer offers to buy monsanto for 62 billion,0
533,exclusive tsa pre check allows passengers to fly without waiting for airplane,1
534,obama hoping jim lehrer doesn bring up s economy,1
535,nation legislators resume unfettered whoring,1
536,news photographer found slain in mexico city,0
537,onion social denies rising global temperatures linked to 50 000 coal plants running round the clock to power site,1
538,aol instant messenger to sign off forever after 20 years,0
539,sexist media keeps only referring to woman as bride of isis soldier ,1
540,university of kansas plans to create meditation room,0
541,the global empowerment of the next generation,0
542,mark cuban got it right about stereotypes,0
543,lynx mom wrestling with her babies in the snow will warm your heart,0
544,this one neat trick will eliminate clickbait forever,0
545,nation not about to start giving shit about canadian politics,1
546,the 7 year old actress in the florida project gives the year best screen performance,0
547,lee daniels made star for white people to feel good about being white ,0
548,401k enrollment form sits at bottom of desk drawer for 22 years,1
549,cameraman strikes gold with tubby fan eating ice cream dancing holding baby,1
550,rich thrill seeker takes the bus,1
551,skittish juniors department clerk calls security again,1
552,jared kushner went to iraq and couldn have looked more out of place,0
553,nope christian bale is not playing batman in batman superman ,0
554,mcdonald introduces mccrazy burger,1
555,the fastest growing refugee crisis is the one you ve probably heard the least about,0
556,when anxiety has you literally pulling your hair out,0
557,seeing eye dog really blows off some steam in dog park,1
558,promotional jacket worn everywhere,1
559,white sufficiency movement asserts whites right up there with other races,1
560,new hampshire covered in shadow as floating clinton campaign headquarters takes up position over state,1
561,theater nph is wait for it epic in hedwig daniel radcliffe is impressive in cripple the great immensity isn t,0
562,bipartisan senate duo push justice department for briefing on michael flynn,0
563, very angry badger seizes part of 500 year old scottish castle,0
564,area woman lovingly lint rolling cardigan as if tending to prized stallion,1
565, god fucking dammit you re stupid fucking moron whispers woman who realizes she missed ice dancing,1
566,trump staffer grateful to work with so many people he could turn over to fbi in exchange for immunity,1
567,pope francis wears miter with faceshield to comply with new vatican safety measures,1
568,fed up brookstone body massage chair now only entertaining serious buyers,1
569, mewesyria resistance and hope,0
570,angelina jolie coming for your baby,1
571,drink me now go green with pistachios,0
572,report nothing wrong with good old fashioned ham and cheese sandwich,1
573,i guy has long dark night of self doubt,1
574,no one in ballet audience realizes how bad dancers smell,1
575,congress is falling into isis trap on syrian refugees,0
576,nsa assures americans that prism 2 0 will be way more invasive,1
577,the very nonsensical trump budget proposal,0
578,uganda top anglican leader doubles down on anti gay law,0
579,research funding when is the money dirty ,0
580,brazil probes olympics threats after group backs islamic state,0
